,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
101,2020-01-20,2011.0,partly cloud,6.0,17.0,11.5,7.0,37.0,46.0,1017.0,0
102,2020-01-20,2012.0,Sunny,3.0,13.0,8.0,9.0,37.0,10.0,1021.0,0
103,2020-01-20,2013.0,Sunny,5.0,16.0,10.5,10.0,32.0,1.0,1022.0,0
104,2020-01-21,2009.0,Sunny,7.0,20.0,13.5,6.0,48.0,16.0,1018.0,0
105,2020-01-21,2010.0,Sunny,7.0,22.0,14.5,7.0,32.0,7.0,1021.0,0
106,2020-01-21,2011.0,Sunny,8.0,19.0,13.5,8.0,43.0,25.0,1019.0,0
107,2020-01-21,2012.0,Sunny,2.0,14.0,8.0,10.0,32.0,22.0,1021.0,0
108,2020-01-21,2013.0,Sunny,5.0,17.0,11.0,9.0,30.0,4.0,1022.0,0
109,2020-01-22,2009.0,Sunny,8.0,21.0,14.5,6.0,49.0,2.0,1017.0,0
110,2020-01-22,2010.0,partly cloud,9.0,19.0,14.0,9.0,39.0,36.0,1020.0,0
111,2020-01-22,2011.0,Sunny,6.0,19.0,12.5,10.0,38.0,7.0,1018.0,0
112,2020-01-22,2012.0,partly cloud,7.0,14.0,10.5,8.0,31.0,48.0,1021.0,1
113,2020-01-22,2013.0,Sunny,5.0,18.0,11.5,10.0,24.0,9.0,1022.0,0
114,2020-01-23,2009.0,Sunny,8.0,21.0,14.5,7.0,50.0,19.0,1018.0,0
115,2020-01-23,2010.0,Sunny,9.0,22.0,15.5,8.0,42.0,22.0,1019.0,0
116,2020-01-23,2011.0,Sunny,5.0,19.0,12.0,9.0,26.0,2.0,1020.0,0
117,2020-01-23,2012.0,Sunny,6.0,15.0,10.5,10.0,54.0,28.0,1022.0,1
118,2020-01-23,2013.0,Sunny,8.0,16.0,12.0,13.0,36.0,30.0,1023.0,1
120,2020-01-24,2010.0,partly cloud,10.0,22.0,16.0,8.0,35.0,34.0,1018.0,0
121,2020-01-24,2011.0,Sunny,4.0,18.0,11.0,9.0,22.0,0.0,1020.0,0
122,2020-01-24,2012.0,Sunny,4.0,16.0,10.0,8.0,37.0,9.0,1018.0,0
123,2020-01-24,2013.0,Sunny,6.0,18.0,12.0,9.0,33.0,2.0,1022.0,0
125,2020-01-25,2010.0,Sunny,10.0,22.0,16.0,8.0,36.0,4.0,1019.0,0
126,2020-01-25,2011.0,Sunny,4.0,18.0,11.0,8.0,24.0,0.0,1020.0,0
127,2020-01-25,2012.0,Sunny,7.0,16.0,11.5,9.0,26.0,28.0,1018.0,0
128,2020-01-25,2013.0,Sunny,6.0,19.0,12.5,8.0,29.0,0.0,1021.0,0
129,2020-01-26,2009.0,Sunny,10.0,19.0,14.5,10.0,66.0,20.0,1014.0,1
130,2020-01-26,2010.0,Sunny,9.0,22.0,15.5,9.0,35.0,13.0,1019.0,0
131,2020-01-26,2011.0,Sunny,4.0,18.0,11.0,8.0,29.0,4.0,1024.0,0
132,2020-01-26,2012.0,Sunny,6.0,16.0,11.0,11.0,39.0,7.0,1020.0,0
