[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
106,11/17/2020 12:54:18,01/21/2020,01/21/2020,Sunny,19,8,8,0,43,25,1019,2011,1,13.5
107,11/17/2020 12:54:32,01/21/2020,01/21/2020,Sunny,14,2,10,0,32,22,1021,2012,1,8
108,11/17/2020 12:55:39,01/21/2020,01/21/2020,Sunny,17,5,9,0,30,4,1022,2013,1,11
109,11/17/2020 12:57:33,01/22/2020,01/22/2020,Sunny,21,8,6,0,49,2,1017,2009,1,14.5
110,11/17/2020 12:57:54,01/22/2020,01/22/2020,partly cloud,19,9,9,0,39,36,1020,2010,2,14
111,11/17/2020 12:58:14,01/22/2020,01/22/2020,Sunny,19,6,10,0,38,7,1018,2011,1,12.5
112,11/17/2020 12:58:33,01/22/2020,01/22/2020,partly cloud,14,7,8,0.1,31,48,1021,2012,2,10.5
113,11/17/2020 12:58:57,01/22/2020,01/22/2020,Sunny,18,5,10,0,24,9,1022,2013,1,11.5
114,11/17/2020 1:00:01,01/23/2020,01/23/2020,Sunny,21,8,7,0,50,19,1018,2009,1,14.5
115,11/17/2020 1:00:22,01/23/2020,01/23/2020,Sunny,22,9,8,0,42,22,1019,2010,1,15.5
116,11/17/2020 1:00:41,01/23/2020,01/23/2020,Sunny,19,5,9,0,26,2,1020,2011,1,12
117,11/17/2020 1:01:00,01/23/2020,01/23/2020,Sunny,15,6,10,0.1,54,28,1022,2012,1,10.5
118,11/17/2020 1:01:24,01/23/2020,01/23/2020,Sunny,16,8,13,0.1,36,30,1023,2013,1,12
119,11/17/2020 1:02:28,01/24/2020,01/24/2020,Sunny,23,12,4,0,47,29,1016,2009,1,17.5
120,11/17/2020 1:02:49,01/24/2020,01/24/2020,partly cloud,22,10,8,0,35,34,1018,2010,2,16
121,11/17/2020 1:03:08,01/24/2020,01/24/2020,Sunny,18,4,9,0,22,0,1020,2011,1,11
122,11/17/2020 1:03:28,01/24/2020,01/24/2020,Sunny,16,4,8,0,37,9,1018,2012,1,10
123,11/17/2020 1:03:52,01/24/2020,01/24/2020,Sunny,18,6,9,0,33,2,1022,2013,1,12
124,11/17/2020 1:04:55,01/25/2020,01/25/2020,partly cloud,16,9,9,7.3,79,36,1014,2009,2,12.5
125,11/17/2020 1:05:16,01/25/2020,01/25/2020,Sunny,22,10,8,0,36,4,1019,2010,1,16
126,11/17/2020 1:05:35,01/25/2020,01/25/2020,Sunny,18,4,8,0,24,0,1020,2011,1,11
127,11/17/2020 1:05:55,01/25/2020,01/25/2020,Sunny,16,7,9,0,26,28,1018,2012,1,11.5
128,11/17/2020 1:06:19,01/25/2020,01/25/2020,Sunny,19,6,8,0,29,0,1021,2013,1,12.5
129,11/17/2020 1:07:23,01/26/2020,01/26/2020,Sunny,19,10,10,0.1,66,20,1014,2009,1,14.5
130,11/17/2020 1:07:44,01/26/2020,01/26/2020,Sunny,22,9,9,0,35,13,1019,2010,1,15.5
131,11/17/2020 1:08:03,01/26/2020,01/26/2020,Sunny,18,4,8,0,29,4,1024,2011,1,11
132,11/17/2020 1:08:22,01/26/2020,01/26/2020,Sunny,16,6,11,0,39,7,1020,2012,1,11
133,11/17/2020 1:08:46,01/26/2020,01/26/2020,Sunny,19,7,10,0,26,10,1020,2013,1,13
134,11/17/2020 1:09:50,01/27/2020,01/27/2020,Sunny,18,9,6,0.2,67,29,1017,2009,1,13.5
135,11/17/2020 1:10:11,01/27/2020,01/27/2020,partly cloud,21,11,8,0,31,35,1019,2010,2,16
136,11/17/2020 1:10:30,01/27/2020,01/27/2020,Sunny,19,4,9,0,30,8,1022,2011,1,11.5
137,11/17/2020 1:10:50,01/27/2020,01/27/2020,partly cloud,16,5,10,0,32,26,1018,2012,2,10.5
138,11/17/2020 1:11:14,01/27/2020,01/27/2020,partly cloud,20,8,8,0,28,34,1018,2013,2,14
139,11/17/2020 1:12:26,01/28/2020,01/28/2020,Sunny,20,7,6,0,54,7,1016,2009,1,13.5
140,11/17/2020 1:12:47,01/28/2020,01/28/2020,Sunny,19,11,7,0,37,17,1019,2010,1,15
141,11/17/2020 1:13:07,01/28/2020,01/28/2020,partly cloud,19,5,7,0,26,47,1019,2011,2,12
142,11/17/2020 1:13:26,01/28/2020,01/28/2020,Sunny,17,5,10,0,26,5,1018,2012,1,11
143,11/17/2020 1:13:50,01/28/2020,01/28/2020,Sunny,20,8,9,0,30,10,1018,2013,1,14
